Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore,Fti,Uti,Conf_x,AdjEM_x,AdjO_x,AdjD_x,AdjT_x,SOSEM_x,SOSO_x,SOSD_x,BPI(O)_x,BPI(D)_x,W_x,L_x,Pts_x,Opp_x,MOV_x,SOS_x,OSRS_x,DSRS_x,SRS_x,PASE_x,Conf_y,AdjEM_y,AdjO_y,AdjD_y,AdjT_y,SOSEM_y,SOSO_y,SOSD_y,BPI(O)_y,BPI(D)_y,W_y,L_y,Pts_y,Opp_y,MOV_y,SOS_y,OSRS_y,DSRS_y,SRS_y,PASE_y
2008.0,1.0,SW,10.0,8.0,UNLV,71.0,9.0,Kent St.,58.0,19.0,20.0,MWC,13.71,110.2,96.5,63.9,3.1,104.3,101.2,2.6,6.0,27.0,8.0,69.7,62.3,7.4,4.02,2.46,7.77,10.23,-0.59375,MAC,13.04,107.8,94.8,65.1,1.03,103.5,102.5,1.8,5.8,28.0,7.0,68.9,61.9,7.06,0.41,1.96,5.51,7.47,-0.3229166666666667
2008.0,1.0,SW,11.0,5.0,Clemson,69.0,12.0,Villanova,75.0,21.0,22.0,ACC,22.03,114.0,91.9,68.0,9.53,109.3,99.8,10.2,4.5,24.0,10.0,79.2,69.8,9.44,9.08,12.37,5.68,18.05,-0.4888392857142857,BE,14.21,109.2,95.0,68.1,9.14,108.9,99.8,5.6,3.4,22.0,13.0,72.8,69.5,3.31,7.69,6.92,4.08,11.0,0.3426339285714285
2008.0,1.0,SW,12.0,4.0,Vanderbilt,62.0,13.0,Siena,83.0,23.0,24.0,SEC,12.65,112.3,99.6,68.2,5.2,107.4,102.2,10.0,-1.6,26.0,8.0,80.0,74.6,5.41,5.54,12.11,-1.16,10.96,-0.946875,MAAC,7.99,108.6,100.7,67.6,-1.41,104.1,105.5,6.1,-1.0,23.0,11.0,76.9,71.2,5.68,-1.62,5.61,-1.55,4.06,0.296875
2008.0,1.0,SW,13.0,6.0,USC,67.0,11.0,Kansas St.,80.0,25.0,26.0,P10,18.67,110.5,91.9,65.2,11.18,109.7,98.5,4.9,7.1,21.0,12.0,69.0,63.7,5.3,8.59,5.35,8.54,13.89,0.15625,B12,18.9,114.2,95.3,69.7,9.09,108.0,98.9,8.6,1.1,21.0,12.0,78.0,68.9,9.09,7.79,12.61,3.17,15.79,0.153125
2008.0,1.0,SW,14.0,3.0,Wisconsin,71.0,14.0,Cal St. Fullerton,56.0,27.0,28.0,B10,26.68,113.5,86.8,61.1,7.35,107.1,99.8,2.1,14.4,31.0,5.0,67.3,54.4,12.86,6.73,2.83,16.76,19.59,0.3080357142857143,BW,8.47,112.3,103.9,71.6,-3.95,101.5,105.5,9.6,-4.9,24.0,9.0,81.8,72.7,9.15,-3.06,11.86,-6.23,5.64,-0.1614583333333333
2008.0,1.0,SW,15.0,7.0,Gonzaga,76.0,10.0,Davidson,82.0,29.0,30.0,WCC,19.05,114.5,95.5,65.9,2.57,104.0,101.5,8.1,2.9,25.0,8.0,76.5,63.8,12.67,2.15,9.29,5.52,14.81,0.28125,SC,23.61,117.0,93.4,66.2,3.36,105.2,101.8,9.5,5.3,29.0,7.0,77.9,63.2,14.69,1.66,8.49,5.44,13.93,0.0807291666666666
2008.0,1.0,SW,16.0,2.0,Georgetown,66.0,15.0,UMBC,47.0,31.0,32.0,BE,25.56,115.2,89.7,60.5,8.48,108.2,99.8,4.3,12.9,28.0,6.0,69.6,58.1,11.5,7.23,4.06,14.67,18.73,-1.0535714285714286,AE,3.86,113.2,109.3,63.7,-4.31,100.7,105.0,4.5,-2.2,24.0,9.0,74.2,68.4,5.82,-4.53,4.01,-3.94,0.06,0.390625
2008.0,1.0,NE,17.0,1.0,Memphis,87.0,16.0,UT Arlington,63.0,33.0,34.0,CUSA,31.51,118.0,86.5,68.1,5.83,107.0,101.1,11.3,8.0,38.0,2.0,79.9,61.9,17.98,5.76,13.46,10.28,23.73,0.12109375,Slnd,-2.31,101.3,103.6,68.6,-4.81,99.5,104.3,0.8,-2.4,21.0,12.0,73.4,68.9,4.48,-4.62,1.13,-4.0,-2.87,-0.03125
2008.0,1.0,NE,18.0,8.0,Mississippi St.,76.0,9.0,Oregon,69.0,35.0,36.0,SEC,16.77,108.2,91.5,66.6,6.22,108.1,101.8,5.5,5.5,23.0,11.0,73.2,65.5,7.68,5.74,5.74,7.68,13.42,-0.40234375,P10,15.66,118.8,103.1,65.8,10.56,108.9,98.4,11.0,-1.1,18.0,14.0,76.6,72.5,4.03,7.65,12.03,-0.35,11.68,0.755859375
2008.0,1.0,NE,19.0,5.0,Michigan St.,72.0,12.0,Temple,61.0,37.0,38.0,B10,21.15,115.8,94.7,63.3,8.71,108.2,99.5,5.8,7.8,27.0,9.0,71.2,62.6,8.64,7.68,7.0,9.32,16.32,0.6729166666666667,A10,12.37,112.8,100.4,63.6,6.08,107.4,101.3,4.7,2.3,21.0,13.0,72.3,68.7,3.59,4.57,5.05,3.11,8.16,-0.5044642857142857
2008.0,1.0,NE,20.0,4.0,Pittsburgh,82.0,13.0,Oral Roberts,63.0,39.0,40.0,BE,19.91,116.5,96.6,63.9,9.52,107.8,98.3,7.2,6.0,27.0,10.0,73.8,65.1,8.68,7.84,8.0,7.63,15.62,-0.37109375,Sum,10.27,104.7,94.5,63.6,-0.01,105.4,105.4,-0.9,6.5,24.0,9.0,69.2,62.0,7.12,-0.26,-0.99,6.7,5.71,0.3489583333333333
2008.0,1.0,NE,21.0,6.0,Marquette,74.0,11.0,Kentucky,66.0,41.0,42.0,BE,22.16,115.3,93.1,66.6,8.62,107.9,99.3,8.3,5.9,25.0,10.0,75.9,64.8,11.11,8.09,11.23,7.39,18.62,-0.234375,SEC,10.01,107.8,97.8,62.4,6.74,107.4,100.7,1.0,6.4,18.0,13.0,68.5,65.6,2.9,7.09,1.44,7.75,9.19,0.6298076923076923
2008.0,1.0,NE,22.0,3.0,Stanford,77.0,14.0,Cornell,53.0,43.0,44.0,P10,22.75,113.6,90.9,63.4,9.32,109.1,99.7,5.5,8.6,28.0,8.0,70.9,61.6,9.36,6.95,5.6,10.71,16.31,0.8203125,Ivy,4.41,110.1,105.7,67.9,-6.93,99.1,106.0,6.2,-2.5,22.0,6.0,76.3,68.5,7.82,-4.74,6.17,-5.41,0.76,0.421875
2008.0,1.0,NE,23.0,7.0,Miami FL,78.0,10.0,Saint Mary's,64.0,45.0,46.0,ACC,15.38,112.5,97.1,65.8,7.78,106.7,98.9,8.1,2.2,23.0,11.0,74.8,67.9,6.85,7.13,7.49,4.89,12.38,0.6026785714285714,WCC,14.66,109.2,94.6,66.4,0.11,103.4,103.3,5.1,3.9,25.0,7.0,75.7,63.7,12.0,0.36,6.27,5.12,11.39,-0.171875
2008.0,1.0,NE,24.0,2.0,Texas,74.0,15.0,Austin Peay,54.0,47.0,48.0,B12,25.09,120.6,95.5,63.9,10.37,108.4,98.0,9.4,4.3,31.0,7.0,75.5,64.9,10.55,8.59,9.93,8.2,18.13,-0.3197115384615384,OVC,-0.3,104.6,104.9,65.5,-6.35,102.5,108.8,2.9,-1.8,24.0,11.0,74.0,70.8,3.23,-5.24,1.36,-3.57,-2.21,-0.109375
2008.0,1.0,SE,25.0,1.0,UCLA,70.0,16.0,Mississippi Valley St.,29.0,49.0,50.0,P10,29.94,118.0,88.1,64.1,10.03,109.3,99.3,7.9,10.9,35.0,4.0,73.5,59.0,14.54,7.71,8.6,13.1,21.71,0.73125,SWAC,-15.21,91.9,107.1,63.0,-11.0,96.7,107.7,-9.8,-2.1,17.0,16.0,61.7,65.9,-4.18,-9.5,-13.38,-1.9,-15.28,-0.03125
2008.0,1.0,SE,26.0,8.0,BYU,62.0,9.0,Texas A&M,67.0,51.0,52.0,MWC,15.76,107.4,91.7,67.8,1.47,104.2,102.7,4.6,3.6,27.0,8.0,73.7,63.2,10.49,1.33,5.74,6.08,11.82,-0.32421875,B12,19.93,112.3,92.3,61.8,8.28,107.4,99.1,4.1,8.2,25.0,11.0,70.8,61.6,9.22,7.46,4.82,11.38,16.2,0.03125
2008.0,1.0,SE,27.0,5.0,Drake,99.0,12.0,Western Kentucky,101.0,53.0,54.0,MVC,21.46,120.0,98.5,62.9,4.89,105.5,100.6,5.4,4.9,28.0,5.0,73.9,62.1,11.82,4.15,7.43,6.65,14.08,-0.46875,SB,14.6,111.9,97.3,68.2,-0.85,103.3,104.2,7.5,0.6,29.0,7.0,77.4,66.8,10.61,0.24,7.93,1.41,9.34,0.7265625
2008.0,1.0,SE,28.0,4.0,Connecticut,69.0,13.0,San Diego,70.0,55.0,56.0,BE,18.9,115.2,96.3,67.1,7.67,107.7,100.0,8.5,3.8,24.0,9.0,77.5,68.7,8.79,6.76,10.81,4.73,15.54,0.5171875,WCC,4.64,101.6,97.0,63.0,1.43,104.3,102.9,-1.7,3.7,22.0,14.0,65.7,63.8,1.92,1.45,-3.71,7.1,3.39,0.75
2008.0,1.0,SE,29.0,6.0,Purdue,90.0,11.0,Baylor,79.0,57.0,58.0,B10,18.3,110.5,92.2,66.9,6.41,106.2,99.7,3.9,6.0,25.0,9.0,69.6,62.4,7.21,5.9,5.95,7.16,13.1,-0.4207589285714285,B12,14.82,115.7,100.9,70.1,7.58,106.9,99.3,12.6,-4.8,21.0,11.0,81.3,74.9,6.41,5.75,15.95,-4.5,11.46,-0.1692708333333333
2008.0,1.0,SE,30.0,3.0,Xavier,73.0,14.0,Georgia,61.0,59.0,60.0,A10,22.05,117.3,95.2,63.8,6.94,108.1,101.2,7.9,6.4,30.0,7.0,75.1,63.4,11.7,5.47,8.4,8.76,17.17,0.4453125,SEC,8.08,104.3,96.2,64.7,7.55,108.5,101.0,0.4,4.9,17.0,17.0,68.1,67.4,0.71,7.03,0.83,6.42,7.24,-0.4010416666666667
2008.0,1.0,SE,31.0,7.0,West Virginia,75.0,10.0,Arizona,65.0,61.0,62.0,BE,21.29,114.6,93.3,63.8,9.0,108.5,99.5,8.9,7.7,26.0,11.0,74.8,63.6,11.27,7.16,8.45,9.52,17.97,0.080965909090909,P10,19.14,116.4,97.3,63.5,12.72,110.3,97.6,6.6,4.1,19.0,15.0,71.9,66.9,4.91,10.22,7.57,6.99,14.55,-0.1744791666666666
2008.0,1.0,SE,32.0,2.0,Duke,71.0,15.0,Belmont,70.0,63.0,64.0,ACC,26.4,116.3,89.9,71.5,10.06,109.1,99.0,13.8,4.3,28.0,6.0,83.2,69.4,13.79,9.28,16.48,5.04,21.52,-0.0375,ASun,3.53,109.7,106.2,68.6,-5.21,100.9,106.1,6.8,-4.2,25.0,9.0,79.8,73.4,6.38,-3.44,6.55,-6.67,-0.12,-0.2265625
2008.0,2.0,NW,33.0,1.0,North Carolina,108.0,9.0,Arkansas,77.0,1.0,4.0,ACC,30.22,122.1,91.9,72.5,10.18,108.0,97.8,19.2,1.0,36.0,3.0,88.6,72.5,16.05,8.12,23.41,0.76,24.17,0.6160714285714286,SEC,15.19,111.4,96.2,66.5,7.19,108.4,101.2,5.5,4.1,23.0,12.0,74.1,68.3,5.74,6.73,6.67,5.81,12.48,0.5223214285714286
2008.0,2.0,NW,34.0,4.0,Washington St.,61.0,5.0,Notre Dame,41.0,7.0,5.0,P10,24.32,115.1,90.8,58.3,8.99,109.0,100.0,1.1,13.2,26.0,9.0,66.4,56.4,10.0,6.35,0.1,16.25,16.35,-0.28125,BE,19.07,114.6,95.6,69.5,6.88,107.5,100.6,10.6,1.6,25.0,8.0,79.0,69.6,9.42,7.03,13.12,3.03,16.15,0.1145833333333333
2008.0,2.0,NW,35.0,3.0,Louisville,78.0,6.0,Oklahoma,48.0,11.0,9.0,BE,25.41,113.1,87.7,65.3,9.34,108.4,99.0,7.1,9.1,27.0,9.0,72.5,61.5,11.0,8.0,7.15,11.85,19.0,0.375,B12,14.47,109.5,95.1,63.1,9.45,108.3,98.9,2.6,6.9,23.0,12.0,67.9,63.8,4.11,7.85,3.36,8.61,11.97,0.13125
2008.0,2.0,NW,36.0,2.0,Tennessee,76.0,7.0,Butler,71.0,15.0,13.0,SEC,22.17,116.2,94.0,70.7,9.58,109.4,99.8,13.3,2.8,31.0,5.0,81.8,70.0,11.86,7.84,15.69,2.73,18.41,-0.1775568181818181,Horz,19.97,116.2,96.2,59.5,2.79,104.3,101.5,3.3,9.2,30.0,4.0,68.8,58.4,10.41,2.64,2.38,10.63,13.0,1.0746527777777777
2008.0,2.0,SW,37.0,1.0,Kansas,75.0,8.0,UNLV,56.0,17.0,19.0,B12,35.21,120.9,85.7,66.8,9.57,109.2,99.6,12.4,9.6,37.0,3.0,80.5,61.5,19.03,8.2,14.9,11.99,26.9,-0.1171875,MWC,13.71,110.2,96.5,63.9,3.1,104.3,101.2,2.6,6.0,27.0,8.0,69.7,62.3,7.4,4.02,2.46,7.77,10.23,-0.59375
2008.0,2.0,SW,38.0,12.0,Villanova,84.0,13.0,Siena,72.0,22.0,24.0,BE,14.21,109.2,95.0,68.1,9.14,108.9,99.8,5.6,3.4,22.0,13.0,72.8,69.5,3.31,7.69,6.92,4.08,11.0,0.3426339285714285,MAAC,7.99,108.6,100.7,67.6,-1.41,104.1,105.5,6.1,-1.0,23.0,11.0,76.9,71.2,5.68,-1.62,5.61,-1.55,4.06,0.296875
2008.0,2.0,SW,39.0,3.0,Wisconsin,72.0,11.0,Kansas St.,55.0,27.0,26.0,B10,26.68,113.5,86.8,61.1,7.35,107.1,99.8,2.1,14.4,31.0,5.0,67.3,54.4,12.86,6.73,2.83,16.76,19.59,0.3080357142857143,B12,18.9,114.2,95.3,69.7,9.09,108.0,98.9,8.6,1.1,21.0,12.0,78.0,68.9,9.09,7.79,12.61,3.17,15.79,0.153125
2008.0,2.0,SW,40.0,2.0,Georgetown,70.0,10.0,Davidson,74.0,31.0,30.0,BE,25.56,115.2,89.7,60.5,8.48,108.2,99.8,4.3,12.9,28.0,6.0,69.6,58.1,11.5,7.23,4.06,14.67,18.73,-1.0535714285714286,SC,23.61,117.0,93.4,66.2,3.36,105.2,101.8,9.5,5.3,29.0,7.0,77.9,63.2,14.69,1.66,8.49,5.44,13.93,0.0807291666666666
2008.0,2.0,NE,41.0,1.0,Memphis,77.0,8.0,Mississippi St.,74.0,33.0,35.0,CUSA,31.51,118.0,86.5,68.1,5.83,107.0,101.1,11.3,8.0,38.0,2.0,79.9,61.9,17.98,5.76,13.46,10.28,23.73,0.12109375,SEC,16.77,108.2,91.5,66.6,6.22,108.1,101.8,5.5,5.5,23.0,11.0,73.2,65.5,7.68,5.74,5.74,7.68,13.42,-0.40234375
2008.0,2.0,NE,42.0,4.0,Pittsburgh,54.0,5.0,Michigan St.,65.0,39.0,37.0,BE,19.91,116.5,96.6,63.9,9.52,107.8,98.3,7.2,6.0,27.0,10.0,73.8,65.1,8.68,7.84,8.0,7.63,15.62,-0.37109375,B10,21.15,115.8,94.7,63.3,8.71,108.2,99.5,5.8,7.8,27.0,9.0,71.2,62.6,8.64,7.68,7.0,9.32,16.32,0.6729166666666667
2008.0,2.0,NE,43.0,3.0,Stanford,82.0,6.0,Marquette,81.0,43.0,41.0,P10,22.75,113.6,90.9,63.4,9.32,109.1,99.7,5.5,8.6,28.0,8.0,70.9,61.6,9.36,6.95,5.6,10.71,16.31,0.8203125,BE,22.16,115.3,93.1,66.6,8.62,107.9,99.3,8.3,5.9,25.0,10.0,75.9,64.8,11.11,8.09,11.23,7.39,18.62,-0.234375
2008.0,2.0,NE,44.0,2.0,Texas,75.0,7.0,Miami FL,72.0,47.0,45.0,B12,25.09,120.6,95.5,63.9,10.37,108.4,98.0,9.4,4.3,31.0,7.0,75.5,64.9,10.55,8.59,9.93,8.2,18.13,-0.3197115384615384,ACC,15.38,112.5,97.1,65.8,7.78,106.7,98.9,8.1,2.2,23.0,11.0,74.8,67.9,6.85,7.13,7.49,4.89,12.38,0.6026785714285714
2008.0,2.0,SE,45.0,1.0,UCLA,53.0,9.0,Texas A&M,49.0,49.0,52.0,P10,29.94,118.0,88.1,64.1,10.03,109.3,99.3,7.9,10.9,35.0,4.0,73.5,59.0,14.54,7.71,8.6,13.1,21.71,0.73125,B12,19.93,112.3,92.3,61.8,8.28,107.4,99.1,4.1,8.2,25.0,11.0,70.8,61.6,9.22,7.46,4.82,11.38,16.2,0.03125
2008.0,2.0,SE,46.0,12.0,Western Kentucky,72.0,13.0,San Diego,63.0,54.0,56.0,SB,14.6,111.9,97.3,68.2,-0.85,103.3,104.2,7.5,0.6,29.0,7.0,77.4,66.8,10.61,0.24,7.93,1.41,9.34,0.7265625,WCC,4.64,101.6,97.0,63.0,1.43,104.3,102.9,-1.7,3.7,22.0,14.0,65.7,63.8,1.92,1.45,-3.71,7.1,3.39,0.75
2008.0,2.0,SE,47.0,3.0,Xavier,85.0,6.0,Purdue,78.0,59.0,57.0,A10,22.05,117.3,95.2,63.8,6.94,108.1,101.2,7.9,6.4,30.0,7.0,75.1,63.4,11.7,5.47,8.4,8.76,17.17,0.4453125,B10,18.3,110.5,92.2,66.9,6.41,106.2,99.7,3.9,6.0,25.0,9.0,69.6,62.4,7.21,5.9,5.95,7.16,13.1,-0.4207589285714285
2008.0,2.0,SE,48.0,2.0,Duke,67.0,7.0,West Virginia,73.0,63.0,61.0,ACC,26.4,116.3,89.9,71.5,10.06,109.1,99.0,13.8,4.3,28.0,6.0,83.2,69.4,13.79,9.28,16.48,5.04,21.52,-0.0375,BE,21.29,114.6,93.3,63.8,9.0,108.5,99.5,8.9,7.7,26.0,11.0,74.8,63.6,11.27,7.16,8.45,9.52,17.97,0.080965909090909
2008.0,3.0,NW,49.0,1.0,North Carolina,68.0,4.0,Washington St.,47.0,1.0,7.0,ACC,30.22,122.1,91.9,72.5,10.18,108.0,97.8,19.2,1.0,36.0,3.0,88.6,72.5,16.05,8.12,23.41,0.76,24.17,0.6160714285714286,P10,24.32,115.1,90.8,58.3,8.99,109.0,100.0,1.1,13.2,26.0,9.0,66.4,56.4,10.0,6.35,0.1,16.25,16.35,-0.28125
2008.0,3.0,NW,50.0,2.0,Tennessee,60.0,3.0,Louisville,79.0,15.0,11.0,SEC,22.17,116.2,94.0,70.7,9.58,109.4,99.8,13.3,2.8,31.0,5.0,81.8,70.0,11.86,7.84,15.69,2.73,18.41,-0.1775568181818181,BE,25.41,113.1,87.7,65.3,9.34,108.4,99.0,7.1,9.1,27.0,9.0,72.5,61.5,11.0,8.0,7.15,11.85,19.0,0.375
2008.0,3.0,SW,51.0,1.0,Kansas,72.0,12.0,Villanova,57.0,17.0,22.0,B12,35.21,120.9,85.7,66.8,9.57,109.2,99.6,12.4,9.6,37.0,3.0,80.5,61.5,19.03,8.2,14.9,11.99,26.9,-0.1171875,BE,14.21,109.2,95.0,68.1,9.14,108.9,99.8,5.6,3.4,22.0,13.0,72.8,69.5,3.31,7.69,6.92,4.08,11.0,0.3426339285714285
2008.0,3.0,SW,52.0,3.0,Wisconsin,56.0,10.0,Davidson,73.0,27.0,30.0,B10,26.68,113.5,86.8,61.1,7.35,107.1,99.8,2.1,14.4,31.0,5.0,67.3,54.4,12.86,6.73,2.83,16.76,19.59,0.3080357142857143,SC,23.61,117.0,93.4,66.2,3.36,105.2,101.8,9.5,5.3,29.0,7.0,77.9,63.2,14.69,1.66,8.49,5.44,13.93,0.0807291666666666
2008.0,3.0,NE,53.0,1.0,Memphis,92.0,5.0,Michigan St.,74.0,33.0,37.0,CUSA,31.51,118.0,86.5,68.1,5.83,107.0,101.1,11.3,8.0,38.0,2.0,79.9,61.9,17.98,5.76,13.46,10.28,23.73,0.12109375,B10,21.15,115.8,94.7,63.3,8.71,108.2,99.5,5.8,7.8,27.0,9.0,71.2,62.6,8.64,7.68,7.0,9.32,16.32,0.6729166666666667
2008.0,3.0,NE,54.0,2.0,Texas,82.0,3.0,Stanford,62.0,47.0,43.0,B12,25.09,120.6,95.5,63.9,10.37,108.4,98.0,9.4,4.3,31.0,7.0,75.5,64.9,10.55,8.59,9.93,8.2,18.13,-0.3197115384615384,P10,22.75,113.6,90.9,63.4,9.32,109.1,99.7,5.5,8.6,28.0,8.0,70.9,61.6,9.36,6.95,5.6,10.71,16.31,0.8203125
2008.0,3.0,SE,55.0,1.0,UCLA,88.0,12.0,Western Kentucky,78.0,49.0,54.0,P10,29.94,118.0,88.1,64.1,10.03,109.3,99.3,7.9,10.9,35.0,4.0,73.5,59.0,14.54,7.71,8.6,13.1,21.71,0.73125,SB,14.6,111.9,97.3,68.2,-0.85,103.3,104.2,7.5,0.6,29.0,7.0,77.4,66.8,10.61,0.24,7.93,1.41,9.34,0.7265625
2008.0,3.0,SE,56.0,3.0,Xavier,79.0,7.0,West Virginia,75.0,59.0,61.0,A10,22.05,117.3,95.2,63.8,6.94,108.1,101.2,7.9,6.4,30.0,7.0,75.1,63.4,11.7,5.47,8.4,8.76,17.17,0.4453125,BE,21.29,114.6,93.3,63.8,9.0,108.5,99.5,8.9,7.7,26.0,11.0,74.8,63.6,11.27,7.16,8.45,9.52,17.97,0.080965909090909
2008.0,4.0,NW,57.0,1.0,North Carolina,83.0,3.0,Louisville,73.0,1.0,11.0,ACC,30.22,122.1,91.9,72.5,10.18,108.0,97.8,19.2,1.0,36.0,3.0,88.6,72.5,16.05,8.12,23.41,0.76,24.17,0.6160714285714286,BE,25.41,113.1,87.7,65.3,9.34,108.4,99.0,7.1,9.1,27.0,9.0,72.5,61.5,11.0,8.0,7.15,11.85,19.0,0.375
2008.0,4.0,SW,58.0,1.0,Kansas,59.0,10.0,Davidson,57.0,17.0,30.0,B12,35.21,120.9,85.7,66.8,9.57,109.2,99.6,12.4,9.6,37.0,3.0,80.5,61.5,19.03,8.2,14.9,11.99,26.9,-0.1171875,SC,23.61,117.0,93.4,66.2,3.36,105.2,101.8,9.5,5.3,29.0,7.0,77.9,63.2,14.69,1.66,8.49,5.44,13.93,0.0807291666666666
2008.0,4.0,NE,59.0,1.0,Memphis,85.0,2.0,Texas,67.0,33.0,47.0,CUSA,31.51,118.0,86.5,68.1,5.83,107.0,101.1,11.3,8.0,38.0,2.0,79.9,61.9,17.98,5.76,13.46,10.28,23.73,0.12109375,B12,25.09,120.6,95.5,63.9,10.37,108.4,98.0,9.4,4.3,31.0,7.0,75.5,64.9,10.55,8.59,9.93,8.2,18.13,-0.3197115384615384
2008.0,4.0,SE,60.0,1.0,UCLA,76.0,3.0,Xavier,57.0,49.0,59.0,P10,29.94,118.0,88.1,64.1,10.03,109.3,99.3,7.9,10.9,35.0,4.0,73.5,59.0,14.54,7.71,8.6,13.1,21.71,0.73125,A10,22.05,117.3,95.2,63.8,6.94,108.1,101.2,7.9,6.4,30.0,7.0,75.1,63.4,11.7,5.47,8.4,8.76,17.17,0.4453125
